id	name	rating	delta	rank	competes
endlesscheng	灵茶山艾府	3006.685352475554	128.5170611409745	1	35
tiger2005	tiger2005	2948.194052167716	0.0	0	30
yawn_sean	小羊肖恩	2947.241626854897	0.0	0	18
py-is-best-lang	PyIsBestLang	2921.65250840401	-27.86826478748112	10	37
johnkram	汪乐平	2876.674442863334	-58.72266924680566	18	26
qingczha	张晴川	2870.913212096956	60.56130151957227	4	42
oldyan	oldyan	2816.355941845509	101.9642417710193	3	33
arignote	arignote	2815.695080545849	0.0	0	44
heltion	何逊	2808.392382447144	0.0	0	9
moransky	空	2799.335770938239	139.9980426782898	2	8
hongrock	Hongrock	2768.984755868647	51.69946774788132	7	35
tsreaper	TsReaper	2759.220743386916	81.74549022961291	5	45
w285714	w285714	2734.163342788082	-34.56012917155312	24	46
lichen-7i	zlc1114	2714.714124800476	0.0	0	34
cuiaoxiang	Aoxiang Cui	2697.060261721548	40.60840189498077	11	34
liouzhou_101	liouzhou_101	2696.729384980938	-42.84953136440908	31	46
xuxiaohu	长夜	2650.20257385241	-66.61823023588153	50	20
cksp	lucas110550	2641.145606398312	109.1967272182169	6	30
sysulby	Beiyu Li	2639.52490870371	76.91707491281868	9	45
ji-gong	技工	2637.874230613339	0.0	0	22
panyuchao	冰心水蜜桃	2619.609320132588	0.0	0	8
yaobig-2	YaoBIG	2604.518328921447	0.0	0	15
gooday-3	gooday	2603.437354968205	99.28707864832431	8	50
tian-tang-6	天塘	2598.343386316011	0.0	0	19
yangy-4	yangy	2595.655570490978	0.0	0	18
aging	Aging	2594.867164278432	0.0	0	8
sun-man-man	孙慢慢	2594.288048467027	27.32117514950192	20	46
vibrant-mayerhct	Vibrant MayerHCt	2592.716992770542	-13.48582915401352	33	38
icepeach	冰心水蜜桃	2588.359376460068	0.0	0	14
lddlinan	82年的muggle	2579.182997506932	0.0	0	39
fanzhh	fanzhh	2577.64605121764	0.0	0	16
meyi	支持力扣灵活rejudge	2575.521616447718	12.03817716881036	26	35
milesian-c	Milesian	2571.79903890068	23.45915471584913	23	44
algorithm-lover	GoIsBestLang	2559.170825671004	0.0	0	7
minori	Minori	2549.064829367569	0.0	0	21
megurine	5cm/s 🌸	2546.757168829099	0.0	0	23
