id	name	rating	delta	rank	competes
heltion	何逊	2080.191317765642	226.6464749891756	1	2
qingczha	张晴川	1960.647002765643	169.6080999891755	5	2
ykx_akks	ykx_akks	1954.507687765642	205.0378249891756	3	2
lucifer1005	hide on bush	1868.420177765643	114.1450349891756	21	2
cuiaoxiang	Aoxiang Cui	1862.436730265642	134.5201224891755	16	2
lddlinan	82年的muggle	1858.668147765643	182.2580849891756	8	2
oldyan	oldyan	1853.654787765643	142.5449249891755	15	2
acw_yxc	acwing_yxc	1844.111655265642	151.3146574891755	14	2
superj	SuperJ	1839.475785265642	169.6062074891754	11	2
minori	Minori	1838.444475265642	183.6550874891754	9	2
sserxhs	SSerxhs	1838.387177765642	107.4981249891755	28	2
simpleson	Simpleson	1835.834107765643	101.7723549891755	31	2
wlhz-t	220AD	1835.031650265643	202.3908924891756	7	2
st1vdy	st1vdy	1833.684877765643	166.3792349891754	12	2
tiger2005	tiger2005	1824.578752765643	183.0275899891755	10	2
johnkram	汪乐平	1822.291907776467	0.0	0	1
cjy-e	cjy	1819.240840265642	167.6242524891755	13	2
thuczh	thuczh	1816.413510265643	130.1074924891756	23	2
radiancesheep	TinyVii	1815.544470265643	93.0646624891755	40	2
msmsmsmsms-4	msmsmsmsms	1815.248812765642	151.1730699891755	17	2
w285714	w285714	1812.484775265642	126.1787574891755	25	2
arignote	arignote	1810.009595265642	106.3825174891754	34	2
sleepybag	SleepyBag	1806.641870265643	93.46418248917544	42	2
kayroger-n	Kayroger	1806.236601377409	306.236601377409	2	1
_-_-_-	___	1804.939810265643	104.6603424891755	36	2
kczno1-b	kczno1	1804.019337776467	0.0	0	1
ddmike	ddmike	1798.923810265642	93.53199248917556	44	2
sun-man-man	孙慢慢	1786.128807765642	140.8857949891756	24	2
xi-jun-xiao-zi	细菌小子	1781.775247765643	109.2054949891755	39	2
arubaababa	arubaababa	1780.953642776467	0.0	0	1
qqwqert007	qqwqert007	1779.662572765643	42.19825998917545	104	2
zhzho	最佳歌手	1779.177177765643	80.48880498917552	60	2
winter_training	winter_training	1775.998302765643	56.01972998917554	87	2
wlzhouzhuan	wlzhouzhuan	1774.447086377409	274.4470863774091	4	1
user4283u	埋伏他一手	1773.339235265643	131.2759574891756	30	2
hhhyyyfff	hhhyyyfff	1772.698437776467	0.0	0	1
darrenhp	Darren Hp	1766.511602765642	87.01574998917548	59	2
maskray	meowray	1765.705867776467	0.0	0	1
msxie	_Nice	1762.813510265643	114.1893024891755	41	2
dianhsu	dianhsu	1760.776555265643	99.73952748917546	51	2
kikokiko	Kikokiko	1759.637497776467	0.0	0	1
zqy1018	zqy1018	1755.744421377409	255.7444213774091	6	1
zerolj42	ZeRoLJ42	1750.573755265642	125.2212674891755	38	2
light-cml	LighT	1748.734415265643	53.08040748917543	106	2
mickeyandkaka1	TikTok内推欢迎私信	1747.350432765643	71.92821998917557	82	2
hzx-code	H.Z.X	1747.226190265643	53.02151248917554	107	2
hughstudy-n	Hughstudy	1746.366790265643	68.94907248917551	86	2
ddoudle	Doudle	1746.208545265642	54.77997748917554	105	2
cksp	lucas110550	1745.115437776467	0.0	0	1
liouzhou_101	liouzhou_101	1741.133437776467	0.0	0	1
jialilue	伽利略	1737.232855265643	102.3846874891755	57	2
jeremyzhang96	JeremyZhang96	1737.098010265643	74.5640324891755	84	2
han3000	Han3000	1735.191255265643	114.2190674891755	49	2
harttle	Harttle	1734.863590265643	120.5182024891755	45	2
sqrpi	SQRPI	1733.761917765643	65.6158849891755	97	2
fireee	fireee	1732.120840265643	106.0040224891755	56	2
ujimatsu_chiya	Ujimatsu Chiya	1730.978952765643	65.31371998917544	99	2
seedjyh	seedjyh	1730.647507765643	104.1445849891756	58	2
foxtail	Foxtail	1730.162357765643	98.38033498917551	63	2
fan-cai	凡才	1729.257475265643	108.6354774891755	55	2
czsnb	czsnb	1728.422487765642	80.94940498917552	81	2
baitianshuijiao	acvv-wrx	1727.538862765643	55.88523998917552	115	2
kphmd	kphmd	1727.105757765642	98.63126498917543	64	2
knarf	Knarf	1726.192795265643	66.61055748917548	100	2
zurre	ZurrE	1725.245785265643	98.35407748917547	65	2
iancn	Ian	1724.186285265642	120.9329574891756	48	2
tonghuikang	涂汇康	1720.349170265642	-4.771047510824443	273	2
simon1024	又被毕业啦	1719.170757765643	97.84621498917548	68	2
heyshb	Avalon	1717.602287776467	0.0	0	1
please_ac	辽北地区第一狠人	1717.034405265643	63.53725748917546	110	2
yuan_love_mm	Lose myself	1716.469950265643	56.16543248917552	122	2
changxingjiang	长行	1715.338807776467	0.0	0	1
yldjw	YLDJW	1711.607092765642	80.67064998917547	90	2
lozy219	lozy219	1709.127432776467	0.0	0	1
caorui	Fighter	1707.223457776467	0.0	0	1
tommyjiang	Tommy	1706.032195265642	83.99630748917551	89	2
roeexu	roeexu	1705.849927765643	50.40225498917553	140	2
tusikalanse	图斯卡蓝瑟	1704.216611377409	204.216611377409	18	1
zaozhe	zaozhe	1704.102307765643	73.99871498917551	103	2
fastwronganswer	安琪拉	1703.206420265642	50.97042248917549	141	2
aging	Aging	1702.227937765643	71.2914949891755	108	2
jinmingli	jinmingli	1701.924407776467	0.0	0	1
rgb234rgb	rgb234rgb	1701.633596377409	201.633596377409	19	1
half-empty	倚楼听风	1701.004607765643	52.95908498917552	139	2
bob-116	bob	1700.825355265642	105.3562474891756	69	2
dead_x	dead_X	1699.177811377409	199.177811377409	20	1
zhenguowcs	zhenguowcs	1698.544712765643	96.32051998917555	79	2
xxgj	xxgj	1697.800715265643	70.51749748917555	112	2
_mew_	_mew_	1697.241382765643	50.3346399891756	147	2
huangyuyang	ztxz16	1697.147612776467	0.0	0	1
silvertint10	silvertint10	1697.016750265642	57.95565248917549	133	2
qbnewb	QBnewb	1695.577632765643	83.08063998917547	96	2
double-97h	double	1695.257962765643	62.18275998917548	127	2
yuzining	yuzining	1694.600346377409	194.600346377409	22	1
hakuless	HaKu	1693.794722765643	80.07200998917554	101	2
zhenfisher	嘎嘣脆	1693.227422765643	37.11305998917547	179	2
tong-cai-hong	童彩虹	1690.097192776467	0.0	0	1
pku_erutan	pku_erutan	1687.537697776467	0.0	0	1
john_shelvin	john_shelvin	1686.025622765643	28.55173998917545	208	2
ainuyu	Ainu	1684.696901377409	184.696901377409	27	1
lwpyr	lwpyr	1684.062105265642	31.19931748917546	203	2
quickers-m	qcwlmqy	1683.930862776467	0.0	0	1
taolei0628	taolei	1682.784562776467	0.0	0	1
jianghd1996	Hongda Jiang@PKU	1681.664062776467	0.0	0	1
codelh7	supercode	1681.569535265643	122.9038274891756	62	2
lunaticge	Lunatic	1681.217726377409	181.217726377409	29	1
chiholam	ChihoLam	1680.568192776467	0.0	0	1
_anicca	_anicca	1679.918015265642	77.18144748917555	114	2
goodlord	goodlord	1679.460075265642	111.489457489176	73	2
linxiaotian	林小天	1679.170785265643	54.94563748917543	153	2
hs1239	hs1239	1678.446012776467	0.0	0	1
jay98	Jay	1678.024232765643	115.4164399891755	70	2
daystzh	daystzh	1677.762260265642	102.4974024891756	83	2
acepted	Accepted	1677.479085265643	74.99924748917547	119	2
froggygua	Froggy	1676.403296377409	176.403296377409	32	1
wbaiting	ban	1675.948387765643	50.97419498917557	164	2
shawnxi	Shawn	1675.672747765642	67.83745498917554	132	2
wifiii	wifiii	1674.892981377409	174.892981377409	33	1
xzmy	皓月千里	1674.453367776467	0.0	0	1
acvv_choufeng	acvv_choufeng	1673.502782776467	0.0	0	1
dqsjysgs	dqsjysgs	1673.066075265643	58.09126748917552	152	2
ttregister	ttregister	1673.029192765643	36.81258998917556	200	2
wzc1995	wzc1995	1671.997616377409	171.9976163774091	35	1
mon3ter	Eyjafjalla	1670.753757776467	0.0	0	1
justdoit2	justdoit2	1669.825110265642	51.26027248917561	169	2
robothy	robothy	1669.787962765643	77.87160998917548	120	2
5ab	5ab	1669.253986377409	169.253986377409	37	1
wo-jiao-meng-xiang-jia	我叫梦想家	1669.000507776467	0.0	0	1
cvwan-jia	CV玩家	1666.478857776467	0.0	0	1
youngforest	YoungForest	1664.864327776467	0.0	0	1
scut_dell	字节bpm团队求2-2大佬	1663.785415265643	200.0148374891754	26	2
neymars	信仰.	1662.926080265642	4.758882489175479	316	2
maxd-3	Max.D.	1661.786826377409	161.786826377409	43	1
zy_	zy_	1661.780072776467	0.0	0	1
czwlinux	czwlinux	1660.564130265642	25.26361248917559	247	2
wzhe	wzhe	1660.290482765643	71.32637998917554	138	2
jijijix	jijijix	1659.996550265643	78.60570248917557	126	2
liuyubobobo	liuyubobobo	1658.869892776467	0.0	0	1
noxe	noxe	1658.412011377409	158.412011377409	46	1
upupming	upupming	1657.332556377409	157.332556377409	47	1
leolee	lee	1657.051260265643	56.33871248917549	170	2
fanzhh	fanzhh	1656.789687776467	0.0	0	1
lando-2	Lando	1655.134132765643	79.02761998917552	129	2
lee0560	lee0560	1654.217781377409	154.217781377409	50	1
c_czl	c_czl	1654.139282776467	0.0	0	1
dabien1	里扣王	1653.571530265642	39.53831248917552	214	2
li-bai-yi-3	礼拜一	1653.416480265643	61.28388248917545	163	2
phycoe	Pan	1652.236251377409	152.236251377409	52	1
wannabeaguard	wannabeaguard	1652.180197765643	65.84020498917553	155	2
bitoy	bi⭐⭐toy	1651.271831377409	151.271831377409	53	1
orangezeit	白行知	1651.106242765642	-12.19284001082448	411	2
kristenlee	KristenLee	1651.004387776467	0.0	0	1
anhpp	anhpp	1650.399212776467	0.0	0	1
gnayil	VBMUYI	1650.324101377409	150.324101377409	54	1
ztllng	ztllng	1650.302665265643	0.5017674891754798	353	2
angelbeats	angelbeats	1649.209282776467	0.0	0	1
zjczxz	zjczxz	1646.346372776467	0.0	0	1
cc0408	cc0408	1645.791837776467	0.0	0	1
hum	hum	1645.276395265643	4.232517489175423	345	2
azure_l	Azure_l	1644.651177765643	-44.14967501082455	620	2
wincss	wincss	1644.438200265643	126.3886624891755	76	2
mmooyyii	向晚大魔王	1644.301782765643	43.8375599891755	213	2
bluebear2	有梦想的亚硫酸根	1644.161987776467	0.0	0	1
home_z	算法梦想家	1644.130595265643	74.32982748917553	146	2
yi-xie-zhi-qiu-85	一叶之秋	1644.110566377409	144.110566377409	61	1
equn	Equn逸群	1644.087227765643	74.90183498917546	145	2
lhcmaple	lhcmaple	1643.629562776467	0.0	0	1
