id	name	rating	delta	rank	competes
chensuim	陈岁	2266.682012040802	15.923036342392	4	11
rx782	RX78GP02	2105.917990170307	38.06025821288684	6	10
ryanwang	ryanwang	2085.608504009287	14.55521437390742	9	10
withod0	Withod	2071.518949542322	-98.14959115912852	43	12
chauncylee	chauncylee	2045.322002869035	37.05652551415888	8	9
jinmingli	jinmingli	2031.264218467622	11.32781991557222	12	4
wnjxyk	Zhi Zhou	2016.310211137286	82.59496724590822	5	4
luchy0120	luchy0120	1994.256092424587	-31.80034404139251	25	10
percy	ban peng	1993.635483144737	0.0	0	9
613	613	1965.466173163701	171.455315219493	2	2
yousiki	YouSiki	1963.731888029093	226.4314503541015	1	2
nodgd	nodgd	1951.118114887286	80.26476349590844	7	4
goddice	God Play Dice 🎲🎲🎲🎲	1943.026914952678	0.0	0	8
francisjjf	Jianfei Jiang	1938.183620551991	0.0	0	7
kaizyn	Kaizyn	1902.108704854619	29.2102535285746	17	8
laiyao1	laiyao1	1892.098399178789	0.0	0	5
wengames	wengames	1886.492031874747	-51.73709349155335	51	10
time-limit	自在飞花	1850.935290317759	52.38576806543479	16	6
dut200901102	HuJun	1848.188249786799	187.6658485963951	3	3
resara	resara	1846.872305742795	0.0	0	8
ggut_johnsmit5h	GGUT_JohnSmith65536	1844.226396684023	0.0	0	4
user6802s	user6802S	1841.561108863841	0.0	0	3
hhhyyyfff	hhhyyyfff	1836.44373875728	74.41514962591414	13	5
ghost_liu	微软真尼玛香	1826.819262591129	35.70350579206486	22	12
hasta	Hasta	1825.617564055848	99.76451432734605	10	3
stonehank	stonehank	1821.497047556774	53.86928082641994	18	10
sirius	qih	1803.854541989002	100.780476394192	11	12
201612201402013	201612201402013	1792.615145701885	0.0	0	2
stormsunshine	Storm	1792.367854769923	44.80140361327103	23	13
bice	斌 邢	1776.182994369038	0.0	0	6
zhui-feng-hun-zi	追风混子	1763.062488313384	18.35877006980986	36	7
emanon-2	Emanon	1759.645806348291	32.20143203490279	31	3
shiyinong	老哥哥	1757.087086715724	-10.62275833252981	52	13
hangyesheng	hangyesheng	1754.535680019587	0.0	0	2
lu-you-guan-guang	旅游观光	1753.348467944208	0.0	0	1
chsqaq	chsqaq	1752.491509347309	24.59946903588543	35	6
simonwux	simonwux	1750.109633467622	44.40429491557218	28	4
mbinary	mbinary	1744.414630060223	0.0	0	8
wangbin2360	选牌	1740.354447842622	22.0656705405723	38	4
lzt	lzt	1735.23186257754	-15.4506041943461	60	13
chengair	chengair	1734.446670211873	0.0	0	8
zhou_zzz	zhou_zzz	1731.024451700218	0.0	0	9
yannluo	罗小米	1730.816603637325	0.0	0	7
arco	Arco	1729.41305865116	0.0	0	4
asurudo	Asurudo Jyo	1726.263511942984	14.59573644020982	44	8
1033020837	Peter	1719.069010199709	11.46908818348477	47	5
dxyinme	dxyinme	1716.58321079254	-89.12852240934573	147	3
perfectpan	PerfectPan	1714.039878163701	83.68575021949307	21	2
ln19922	ln19922	1713.602367674991	0.0	0	1
van_chopiszt	Van_Chopiszt	1707.215037438338	0.0	0	6
whatskd-ylx	whatskd-ylx	1700.072184721109	125.5518136620852	14	5
ningwei	宁伟	1692.463674390222	42.6597539929722	37	4
user1813	user1813	1690.884471964865	0.0	0	8
moonpuck	Moonpuck	1682.742450210481	0.0	0	3
user0812n	duloop	1681.493977904188	21.67373047900624	49	3
winterli	Xuedong Li	1677.159163642124	0.0	0	2
qinqin-2	qinqin	1676.888227179276	0.0	0	1
ufowoqqqo	Ufowoqqqo	1676.841553568588	0.0	0	1
leepfy	leepfy	1674.946245680467	0.0	0	6
philicxie	Phil	1674.389709046126	89.14628933706781	24	10
thebloodelf	李勇	1667.753925951935	28.81734243125909	48	11
bigfish0214	bigfish0214	1667.075541790003	-12.12738340680862	75	9
garrybest	garrybest	1662.898423717168	-24.57469533397368	87	10
notes	notes	1660.930152179276	0.0	0	1
czatleetcode	czatleetcode	1659.922706371139	63.69621201205491	34	5
zintrulcre	Zhengyu Chen	1659.797789347309	35.86383903588531	46	6
chezhicong	chezhicong	1653.341095219198	0.0	0	4
