id	name	rating	delta	rank	competes
tiger2005	tiger2005	2156.883220764529	121.9572387003649	5	3
sserxhs	SSerxhs	2096.65340773141	244.2059417334843	1	2
cjycleaner	Relaxed Visvesvaraya	2039.444349514529	127.1004799503649	9	3
hongrock	Hongrock	2023.594815764529	30.05086370036477	47	3
yf_1994	Hilbert	2003.757914514529	147.8300549503647	8	3
darrenhp	Darren Hp	1991.669032014529	126.8593174503647	12	3
heal	Chen Xiaoyan	1986.121997014529	114.8852024503649	15	3
tsreaper	TsReaper	1960.816229514529	112.9296899503649	18	3
ujimatsu_chiya	Ujimatsu_Chiya	1954.303833264529	122.9244862003648	16	3
gooday-3	gooday	1950.985285764529	82.10935370036478	31	3
xi-jun-xiao-zi	细菌小子	1921.427004514529	144.5418849503648	14	3
freeyourmind	不造轮子	1912.983779514529	100.8155299503649	29	3
han3000	Han3000	1903.946232014529	92.15464745036425	35	3
johnkram	汪乐平	1889.069842064165	0.0	0	2
sun-man-man	孙慢慢	1887.328828264529	91.57791120036487	39	3
wang-jing-oh	王敬	1885.337124514529	139.4976349503648	19	3
pandaforever	pandaforever	1876.622024564164	0.0	0	2
milesian-c	Milesian	1876.535030764529	92.54134870036481	41	3
cheng-liang-yu	cheng-liang-yu	1872.019378264529	101.0887612003649	37	3
infallible-i3anach5b9	雪景式	1864.484939564164	0.0	0	2
incra	incra	1861.396190231409	216.8711492334843	7	2
liouzhou_101	liouzhou_101	1860.263506765048	157.6118726998459	17	2
ting-ting-28	听听	1856.383490231409	277.7096592334842	3	2
yoochun	yoochun	1854.640380764529	60.29772870036484	76	3
pyisthebestlang	PyIsTheBestLang	1851.050480764529	119.3018787003644	32	3
981377660lmt	草莓奶昔🍓	1847.185888264529	152.4709612003649	20	3
lucifer1006	牧瀬 紅莉栖	1843.250235764529	102.7769737003648	43	3
fuwutu	fuwutu	1840.834123264529	102.2293162003648	44	3
lucky7-vb	Lucky7	1840.273255231409	237.8643642334844	6	2
sweet-villanijaz	thisislike_fan_2	1837.612065231409	57.79122423348431	87	2
sigma-yyf	sigma-yyf	1833.635547064164	0.0	0	2
laughing-parepvg	Laughing ParepVg	1831.279153264529	42.0125562003648	114	3
gcasd001-e	gcasd001	1830.409597014529	105.0330724503648	45	3
qiye-5	Qiye	1829.805574514529	65.62160495036474	81	3
hughstudy-n	Hughstudy	1825.370092064164	0.0	0	2
424479543	梦回与君同	1824.453504732447	324.4535047324468	2	1
endlesscheng	灵茶山艾府	1821.179420997925	0.0	0	1
strange-davinciper	Strange DavinciPeR	1818.337029514529	131.2601099503649	33	3
knarf	Knarf	1813.233814265048	102.4120151998458	52	2
summerdaway	summerdaway	1812.247680764529	124.2850487003649	38	3
relaxed-yalowzt2	Relaxed YalowzT2	1811.398594514529	66.4701949503648	89	3
curdking	CRUDking	1808.086583264529	129.8282962003643	36	3
wangchaohui	wangchaohui	1807.400308264529	48.73313120036485	118	3
young_sean	小咩肖恩	1807.064454065202	0.0	0	1
tonghuikang	涂汇康	1802.878559514529	30.38467995036481	158	3
shdut-7	shdut	1799.293012731409	167.9451267334843	22	2
shawnxi	Shawn	1796.377882014529	112.3234774503643	50	3
jialilue	伽利略	1794.570804564165	0.0	0	2
physics212303	龙猫	1792.739254732447	292.7392547324469	4	1
mikeac	醉里挑灯看剑	1790.492747014529	54.72059245036476	119	3
hhhyh	未来史蒂夫	1786.497092014529	85.69310745036481	78	3
cpp20	cpp20	1784.875025764529	68.36702370036485	101	3
lu-chen-chen	cc4414	1784.476701765048	60.08733769984579	114	2
0222_	liang sheng	1779.479483264529	87.7528762003648	79	3
wei-she-ming	维虵命	1778.145026765048	136.0677826998458	40	2
jinmingli	jinmingli	1776.229114564165	0.0	0	2
fzldq	Fzldq	1774.419792731409	79.96187673348427	91	2
rain-sure	RainSure	1772.533747064164	0.0	0	2
goldenglow	折耳猪猪澄闪	1771.837598264529	69.63651120036482	107	3
py-is-best-lang	PyIsBestLang	1771.561175997925	0.0	0	1
zzdfw	zzdfw	1770.627596765048	170.1477026998458	26	2
ynu-20201060305-chenyimang	orenji	1769.670364514529	118.7899349503648	54	3
w285714	w285714	1769.611885764529	64.24546370036481	117	3
onlyblues	onlyblues	1769.553024514529	43.49723495036486	157	3
ddoudle	Doudle	1767.387327014529	169.0686224503649	27	3
flamboyant-i2aman7jl	番茄鱼	1767.036608264529	121.3080312003648	53	3
ilpyq_wasd003	双马尾的小迷妹	1764.596206765048	162.9309326998457	30	2
lddlinan	真八块腹肌难	1763.843617014529	50.40113245036483	147	3
kind-agnesipe9	小镇做题家	1760.568014514529	83.50906495036477	94	3
jin-yu-man-tang-5	金玉满堂	1758.492705997925	0.0	0	1
lichen-7i	zlc1114	1758.487974564164	0.0	0	2
north-rav	north	1754.850828264529	92.31012120036431	86	3
zwling	zwling	1753.647943264529	89.58252620036481	90	3
gardenia	Gardenia	1753.127060997925	0.0	0	1
dong-xiao-ming-n	asdf2021	1752.106652731409	133.8453667334848	49	2
mayj-u	mayj	1751.632554514529	174.4090449503648	28	3
taoz-kc	Tao Zhou	1750.536309514529	104.0153099503648	75	3
zheng-dan-u	蒸蛋🍳	1750.372544732447	250.3725447324468	10	1
htedsv-i	tennkei	1750.354750764529	107.0265087003649	72	3
lovelive__-7	lovelive__	1750.174835231409	196.0483942334843	21	2
jian-shen-_	nickname	1748.922863264529	47.19764620036429	167	3
ch365	ch365	1748.283349265048	98.61128019984577	82	2
coolli	2018LZY	1745.919524732447	245.9195247324468	11	1
skyflaming	sky	1743.961405997925	0.0	0	1
haocr123	Hao123	1742.913937014529	56.40720245036485	152	3
an-zhu-yi	下次一定a	1740.746740231409	67.5149592334848	132	2
latstars	latstars	1740.394833264529	120.0934162003648	64	3
hitcslj	愚者	1739.976680997925	0.0	0	1
tokitsukaze	tokitsukaze_love_peace	1739.584852731409	109.9449567334848	74	2
time-v5	lyongwolf	1738.952143264529	49.89412620036481	170	3
you-jiu-noyi	悠久之翼	1738.844729265048	151.4420901998458	42	2
meyi	Destroyer2009	1738.087304732447	238.0873047324468	13	1
xiaodaocidaxiong	小刀刺大熊	1737.860857731409	196.0155917334843	23	2
huiget-6	huiget	1737.841319065202	0.0	0	1
riveryth7	Riveryth7	1737.775831765048	113.7810076998458	71	2
cuiaoxiang	cuiaoxiang	1736.304960997925	0.0	0	1
lxhgww	lxhgww	1736.195842731409	94.88834673348484	93	2
park6	六公园	1734.358003264529	35.95801620036482	211	3
nnustuder	南通启秀初二6 34hjj	1734.284549564165	0.0	0	2
00zi-jian	00子健	1731.005929514529	70.52324995036432	134	3
ruo-ne-2	若讷	1730.912175764529	91.95270370036488	100	3
pensive-grothendieckgii	mushanyu	1729.303271765048	78.71887769984576	121	2
smilences	流萤酱	1728.191969514529	106.8164299503648	83	3
rush-9e	rush	1724.952919514529	74.77091995036486	131	3
tian-bu-sheng-wo-3	天不生我	1724.512809514529	39.47987995036479	212	3
zhou-zhou-36	周周	1723.236655764529	123.7912737003643	68	3
tian-lin-xiao-zui-shuai	灵茶散酒	1721.469176765048	153.5284626998458	46	2
pku_erutan	pku_erutan	1721.395349514529	33.07841995036486	235	3
a_c_w_bdxgd	acvv_bdxgd	1719.011474514529	26.48350495036473	260	3
kynowoo	kynowoo	1718.968332731409	147.1554967334843	51	2
goto_1600	goto_1600	1718.759427731409	135.2170417334843	60	2
zeldahuang	ZeldaHuang	1718.437119564164	0.0	0	2
lastprism	Lastprism	1717.802113264529	140.8065162003648	56	3
hhuuuu	hhuuuu	1717.725232064164	0.0	0	2
he-mao-jian-jiao-shen-shen	贺茂建角身神	1714.174090764529	6.459188700364308	348	3
sierpinski-f	YoungSkywalker	1714.161865997924	0.0	0	1
parallel-k1	Jayint	1713.982496765048	144.0668526998458	55	2
cactus_epic	Cactus	1713.636722014529	32.09591745036474	248	3
zronghui	StanMarsh	1713.243077014529	63.13981245036487	164	3
ou-hai-zijhu23dnz	欧海	1713.057642014529	51.07237745036483	193	3
silvernarcissus	KAI FENG XUE	1711.998820997924	0.0	0	1
shuang-dsd	爽	1711.406747014529	48.71334245036488	201	3
man-ray	派大星	1711.177013264529	94.48596620036486	109	3
tu-ran-gai-ming	突然改名	1710.430694265048	99.77693519984589	102	2
cha-na-yong-heng-8u	刹那永恒	1710.022189514529	71.17624995036491	150	3
wincss	wincss	1709.954870231409	39.52664923348428	229	2
wengzhe	翁喆	1709.466889265048	125.1981801998458	73	2
algorithm-lover	GoIsBestLang	1708.984444732447	208.9844447324469	24	1
woaixuexi-6	woaixuexi	1707.706584265048	58.93189519984585	179	2
maxd-3	Max.D.	1707.023179732447	207.0231797324468	25	1
assassin-killer	Assassin-Killer	1706.589383264529	32.76765620036488	255	3
huanglanzhiguan	discipline	1706.326110231409	103.9172192334843	99	2
coding_dancer	键盘舞者	1705.841189265048	145.5397901998457	57	2
