id	name	rating	delta	rank	competes
heltion	何逊	3325.810550994489	87.85717073460174	1	45
johnkram	汪乐平	3173.922469696115	0.0	0	91
asapin	饭他吃	3023.13664517986	0.0	0	27
huangyuyang	ztxz16	2922.697919054679	116.4569126744126	2	69
jtjl	JTJL	2841.521830301084	-22.31541857199281	12	24
zerotrac2	zerotrac 🌸	2821.499353754226	-58.42879202513504	19	63
qingczha	张晴川	2799.001242369366	-64.8522406402752	22	68
light-cml	LighT	2764.868372750656	133.1734489784352	3	19
tian-tang-6	天塘	2750.321361047837	0.0	0	42
lucifer1004	吴自华	2744.168603085205	-82.71912135611373	32	87
cuiaoxiang	Aoxiang Cui	2741.074358620947	-120.4483368918564	48	20
wifiii	wifiii	2730.70279984954	-75.41253812044951	31	60
liouzhou_101	liouzhou_101	2730.623911920611	0.0	0	114
zqy1018	zqy1018	2686.695718128449	0.0	0	91
xh286286	redpandabigcat	2684.584375494069	114.0379062350218	5	42
zscnash	邹事成	2684.130115119238	0.0	0	21
int65536	int65536	2677.562324357987	0.0	0	4
jasonvictoryan	jasonvictoryan	2668.293008957408	0.0	0	12
lightcml	LighT	2665.51831097223	0.0	0	29
cksp	lucas110550	2661.330369680963	0.0	0	34
milesian-c	Milesian	2655.973360076952	106.9593716521389	6	10
sleepybag	SleepyBag	2642.921675107887	62.52227662120404	10	59
sfiction	sfiction	2639.355922201558	151.7635095275324	4	6
lozy219	lozy219	2634.554835955337	0.0	0	28
endlesscheng	灵茶山艾府	2598.734143736946	0.0	0	30
han3000	Han3000	2584.503168198476	-14.41416646938555	27	54
_aki_	aki	2574.637734263524	0.0	0	8
smartly	SmartLy	2574.123817604289	0.0	0	12
mingqin-chen	Mingqin Chen	2564.679702183967	0.0	0	30
wnjxyk	Zhi Zhou	2552.717127430254	-74.5032257011629	55	106
w285714	w285714	2547.986448942553	-83.29461721346237	61	54
daodao-2	daodao	2544.561712378744	0.0	0	54
yousiki	YouSiki	2533.559252091443	0.0	0	13
jinmingli	jinmingli	2529.95520861571	137.2971631133811	7	124
pku_erutan	pku_erutan	2527.493810943543	0.0	0	29
heyshb	Avalon	2515.988811019828	54.60105070926321	17	11
arignote	arignote	2513.111645422315	-107.6548736932239	87	47
gao-bie-xian-yu	告别咸鱼	2511.522047882475	0.0	0	10
ezoixx130	ezoixx130	2507.633834097112	0.0	0	14
maxd-3	Max.D.	2505.614669033481	0.0	0	8
laekov_prc	laekov	2505.540795910839	0.0	0	37
galaxies	Galaxies	2497.149510620159	0.0	0	12
newhar	newhar	2496.954874219951	18.71594750914019	26	58
weak-chicken	树叶烦	2495.337651205642	81.04276052344895	14	92
fallleaves01	fallleaves01	2489.405455215408	0.0	0	10
ychzhou	ychzhou	2488.067091866643	-79.21321013755241	71	24
noxe	noxe	2486.394609037062	-25.85643730797151	42	26
suspicious-colden	Suspicious Colden	2480.505909714227	0.0	0	4
yang12138	yang12138	2478.34609239842	0.0	0	14
minori	Minori	2477.289905968928	0.0	0	43
acst	acst	2476.937425546553	0.0	0	15
caorui	Fighter	2476.867887438189	0.0	0	28
qodjf	qodjf	2469.187522269811	0.0	0	15
darkaimagic	darkaimagic	2463.00137627383	0.0	0	22
paigulong	RUSH_D_CAT	2461.540806895642	116.8360248334492	11	6
caigogo	caigogo	2459.559641453054	0.0	0	15
asdfasdfasdf123123	yukiyukiyukiyukiyuki	2452.476281972926	0.0	0	35
superj	SuperJ	2448.02914505291	72.25870667618088	18	108
scut_dell	字节bpm团队求2-2大佬	2443.386399344105	-22.93555761501452	47	80
thuczh	thuczh	2442.093263381978	49.64122834711239	23	81
chelly-6	Chelly	2437.452481115483	0.0	0	12
polonez	Polonez	2432.470725117272	0.0	0	13
tuogy	tuogy	2430.624679467675	0.0	0	10
inszva-2	InsZVA	2427.437143869068	0.0	0	22
ykx_akks	ykx_akks	2424.806685829987	0.0	0	26
kaizyn	Kaizyn	2422.065684699188	0.0	0	86
lostleaf	lostleaf	2413.296217535211	0.0	0	51
hewitt_1570	林林坨小仙女	2411.0418881537	0.0	0	85
i_love_xiaoshagua_cpp	Shango	2408.776160710383	0.0	0	8
747929791	747929791	2404.023506011808	0.0	0	8
xi-jun-xiao-zi	细菌小子	2403.980809367453	17.23918236163732	36	69
hhhyyyfff	hhhyyyfff	2402.788825508182	0.0	0	25
dut200901102	HuJun	2401.191284046071	0.0	0	26
silmue	silmue	2393.671753679509	0.0	0	27
lxy-tql	Lxy-Tql	2389.908398096683	0.0	0	12
gou-sha	西方哥哥天下第一	2389.777510192974	0.0	0	9
lu-you-guan-guang	旅游观光	2383.808900732194	0.0	0	9
logsniper	logsniper	2383.391990822458	0.0	0	19
