id	name	rating	delta	rank	competes
heltion	何逊	3512.981366030132	0.0	0	150
endlesscheng	灵茶山艾府	3390.913169900209	0.0	0	163
int65536	int65536	3367.280151613612	0.0	0	37
johnkram	汪乐平	3285.464734775289	10.79915668694705	4	214
arignote	arignote	3267.122206449372	-18.31567498713596	6	241
py-is-best-lang	PyIsBestLang	3264.467049040728	78.32001242150793	2	12
aging	Aging	3240.877842734998	0.0	0	212
moransky	空	3229.186580583209	0.0	0	66
ljc00118	LJC00118	3200.644557258789	0.0	0	17
fan_of_emptyhope	fan_of_emptyhope	3170.87725648277	0.0	0	30
lucifer1005	hide on bush	3149.703791375902	0.0	0	59
sfiction	sfiction	3137.513116538445	0.0	0	14
vibrant-mayerhct	Vibrant MayerHCt	3130.360895045781	183.4923964164554	1	128
lucifer1004	吴自华	3119.631190106498	0.0	0	100
wwwwodddd	wwwwodddd	3117.095448867415	0.0	0	28
wifiii	wifiii	3114.752503335547	0.0	0	126
zerotrac2	zerotrac 🌸	3102.014811878022	0.0	0	81
ayamt	Ayamt	3084.004882899289	0.0	0	22
hhhyyyfff	hhhyyyfff	3077.950166802473	0.0	0	42
asdfasdfasdf123123	yukiyukiyukiyukiyuki	3075.319865522736	0.0	0	51
tiger2005	tiger2005	3069.826531211604	108.3456902506323	3	88
xay5421	xay5421	3062.534093932733	0.0	0	24
hongrock	Hongrock	3050.698394598494	29.47089686374168	8	58
tsreaper	TsReaper	3030.96057660568	-6.396035143443919	13	135
jasonvictoryan	jasonvictoryan	3002.000592142815	0.0	0	83
lucifer1006	牧瀬 紅莉栖	2989.801852199963	-39.17556073772746	22	116
i_love_xiaoshagua_cpp	Shango	2987.537431448122	0.0	0	53
xyr2005	xyr2005	2976.076611790502	0.0	0	8
jtjl	JTJL	2951.850826120726	0.0	0	57
liouzhou_101	liouzhou_101	2947.934161406592	-113.5982999443563	59	268
7ucid-herscheld6u	jiangly	2946.159853732783	0.0	0	5
some_idiot	some_idiot	2942.53327162802	-15.02342016578384	20	15
renascencepjw0510	shawn	2942.096579137443	0.0	0	18
oldyan	oldyan	2941.731413075245	0.0	0	158
asapin	饭他吃	2931.228172025392	0.0	0	87
skyflaming	sky	2926.661390986043	0.0	0	17
liupengsay	liupengsay	2920.250322339718	0.0	0	88
lympanda	lympanda	2909.376776887673	0.0	0	30
venn-4v8	VmVmV	2897.926749401579	0.0	0	7
tian-tang-6	天塘	2897.729048004436	-12.61077654219982	23	129
panyuchao	冰心水蜜桃	2891.690474381354	64.23285708088153	10	10
ruimina	大熊猫趴树上	2888.3476594908	0.0	0	51
chiro_11	Chiro_11	2881.130929376632	0.0	0	51
yawn_sean	小羊肖恩	2872.308155336024	0.0	0	86
ji-gong	技工	2867.008514794791	-119.6159033325544	84	41
sun-man-man	孙慢慢	2860.981910756536	0.0	0	291
qingczha	张晴川	2854.127812728216	-68.38483126598001	50	221
sserxhs	SSerxhs	2836.752061618646	0.0	0	47
pornjoke	Pornjoke	2833.061763552582	0.0	0	31
xuxiaohu	长夜	2823.350345318766	0.0	0	84
robezh-4	RobeZH	2822.744078787194	0.0	0	20
heyshb	Avalon	2820.755119430004	151.2964820322315	5	68
rui_er	rui_er	2820.21602479794	0.0	0	32
cksp	lucas110550	2818.706033964896	52.67882749734006	15	134
xh286286	redpandabigcat	2812.220476045394	0.0	0	153
acw_yxc	acwing_yxc	2805.745468964999	0.0	0	62
acvv_choufeng	acvv_choufeng	2798.768874300583	0.0	0	40
wasa855	wasa855	2795.865772489121	0.0	0	10
justdoit2	justdoit2	2792.687762975679	0.0	0	128
mi-ka-d	米咔	2788.913037656642	0.0	0	33
ainuyu	Ainu	2788.267335204475	0.0	0	7
kybconnor	kybconnor	2785.440247358776	0.0	0	23
zqy1018	zqy1018	2781.660023160704	0.0	0	127
buxuhepepsi	不许喝百事！	2781.476230867913	0.0	0	18
paigulong	RUSH_D_CAT	2767.107374791657	-25.9516933294208	43	86
meyi	zankizero	2764.242117346174	-22.84340588393777	42	77
jinmingli	jinmingli	2753.826958290986	-2.654156828749842	35	283
isuda	suda	2751.892869569206	0.0	0	41
ujimatsu_chiya	Ujimatsu Chiya	2748.718361818185	97.1251196440505	12	226
milesian-c	Milesian	2747.95473536813	19.78233609410606	28	166
w285714	w285714	2739.845456247392	126.5769152148445	9	239
gooday-3	gooday	2738.331635717081	150.1319357451557	7	100
shmilyty	114514	2728.486442924973	0.0	0	19
ling-jian-2012	灵剑2012	2724.398424206802	0.0	0	51
_hy3	以上皆非_Official	2723.99587501824	0.0	0	40
sysulby	sysulby	2723.787888511697	79.41482295053899	16	25
nkuzhu-cristiano	NKU丶Cristiano	2715.245687537818	0.0	0	24
rhodoks	第三神圣绿罗马共和国	2713.120653419331	0.0	0	36
ddrice	DDrice	2712.311974598153	0.0	0	25
acfinity	Luka	2707.805033913495	0.0	0	16
sky_owo_233	S_ky	2707.211023314096	0.0	0	38
daydayuppp	daydayUppp🎈	2706.17310812859	0.0	0	135
cppsail	CppSail	2703.931409269662	0.0	0	9
nopenope	nopenope	2703.641319349562	0.0	0	17
cuiaoxiang	Aoxiang Cui	2700.599899581653	71.6337118805836	19	168
megurine	5cm/s 🌸	2695.162397218779	44.55399424345658	26	107
424479543	梦回与君同	2694.526030027147	22.74079143508923	33	49
minori	Minori	2690.932718134903	65.74242332733363	21	166
yang12138	yang12138	2686.484311806934	0.0	0	43
lichen-7i	zlc1114	2685.290602556937	15.28350890529848	37	29
rgb234rgb	rgb234rgb	2684.780613451798	0.0	0	99
huangyuyang	ztxz16	2676.893423652174	0.0	0	151
qqapp	katoo	2676.34673136736	0.0	0	28
noxe	noxe	2675.305051229776	0.0	0	83
fanzhh	fanzhh	2674.510997578417	0.0	0	178
zhenfisher	嘎嘣脆	2674.280778142807	0.0	0	187
duyiblue	duyi	2670.838377098202	0.0	0	19
0ffers	0ffers	2665.924685318435	0.0	0	46
newhar	newhar	2665.790422818694	29.74899864354141	34	226
lei-feng-lfss	雷锋lfss	2662.538883039598	113.2661084226381	14	35
yzh-x5	yzh	2661.356339547191	0.0	0	27
qqwqert007	qqwqert007	2658.316371153302	60.88886030893397	25	145
juang11	Juang	2658.101399561533	0.0	0	32
huangxw	三界第一温柔	2657.741643054881	0.0	0	74
dengyun	DengYun	2657.477842591016	0.0	0	40
desserty	DesserTy	2654.976179162239	0.0	0	83
ychzhou	ychzhou	2652.53288007042	0.0	0	56
lin-yi-zw	林艺	2651.8745465912	0.0	0	11
eagleeyekestrel	EagleEyeKestrel	2650.077271030089	0.0	0	95
pku_erutan	pku_erutan	2649.268362416882	-23.60837095464606	64	177
lddlinan	82年的muggle	2642.16611409114	102.4550373710963	17	249
skqliiiao	SkqLiiiao	2641.49531126554	0.0	0	39
polonez	Polonez	2639.837986043652	0.0	0	32
retraci	retraci	2639.626422024516	0.0	0	49
yousiki	YouSiki	2637.633106422546	0.0	0	16
acvv_cxy	yxc	2636.262931282395	0.0	0	30
ykx_akks	ykx_akks	2633.53929685151	0.0	0	121
agitated-dubinskypg9	chen_zexing	2632.891923211179	0.0	0	13
tryonetry	orrz	2632.486977334814	0.0	0	30
chenyxuan	雁栖湖首席喷子	2631.386123829338	0.0	0	11
cola99	Cola9.9	2630.671593015927	0.0	0	7
shengtongtong	shengtongtong	2628.702595427942	0.0	0	42
kaizyn	Kaizyn	2624.710476933131	0.0	0	111
lightcml	LighT	2624.400516507181	0.0	0	55
