id	name	rating	delta	rank	competes
liouzhou_101	liouzhou_101	2642.003048853761	-86.88659877748245	6	18
darrenhp	Darren Hp	2441.306075893327	146.3320341829522	1	9
johnkram	汪乐平	2380.632280972531	0.0	0	5
arco	Arco	2319.963000837288	-18.23577076100918	10	17
lu-you-guan-guang	旅游观光	2314.826957567356	0.0	0	8
mingqin-chen	Mingqin Chen	2277.379762942326	25.66650713395285	7	11
wnjxyk	Zhi Zhou	2267.336163406721	134.8425766695582	2	8
caigogo	caigogo	2252.25401390017	105.2109961761092	3	8
jinmingli	jinmingli	2242.933964730243	-84.12751465396394	30	27
chauncylee	chauncylee	2211.418712330344	0.0	0	21
hangyesheng	hangyesheng	2196.847355332689	0.0	0	10
rx782	RX78GP02	2195.930123313859	0.0	0	13
sirius	qih	2192.658714755503	101.1081553207756	4	28
613	613	2188.862322377304	0.0	0	4
luchy0120	luchy0120	2179.979193953695	37.41496612258408	9	41
ryanwang	ryanwang	2172.267162533815	-13.20933245753571	17	33
hewitt_1570	林林坨小仙女	2150.575094725042	0.0	0	9
yousiki	YouSiki	2150.183948361263	0.0	0	5
jiang-hai-ji-yu-sheng	江海寄余生	2129.12894624784	0.0	0	10
chensuim	陈岁	2113.221478017221	0.0	0	36
jl0x61	jl0x61	2111.308724202347	0.0	0	8
dut200901102	HuJun	2102.83107570029	0.0	0	13
ningwei	宁伟	2053.490766534421	0.0	0	11
simonwux	simonwux	2038.543508641072	-34.87810856479319	37	17
nodgd	nodgd	2037.414540026218	0.0	0	5
g00dm0rning	g00dm0rning	2036.044609141889	0.0	0	4
xlj0826	xlj0826	2030.386521027308	-1.560350951029305	26	15
hhhyyyfff	hhhyyyfff	2011.859466363799	0.0	0	9
shiyinong	老哥哥	1984.551039265686	46.43787081059287	18	43
perfectpan	PerfectPan	1984.437137271332	89.65856280494705	11	13
qinggniq	WangCong	1983.085837324076	-44.83769724779739	51	10
ch365	ch365	1977.240206397844	0.0	0	4
wentian	wentian	1970.881475043062	-39.09695496678279	50	13
smoon1989	刘岳	1968.849322421416	-78.17400234513644	78	31
ljian	Jian	1967.151403999363	0.0	0	15
time-limit	自在飞花	1965.503169935507	0.0	0	11
withod0	Withod	1962.620735180741	0.0	0	25
francisjjf	Jianfei Jiang	1962.28161648728	-65.10603641100107	69	20
stormsunshine	Storm	1962.089390643108	76.73027943317044	14	40
zerotrac2	zerotrac 🌸	1960.364138324858	0.0	0	6
wengames	wengames	1958.779905182407	-48.41339510612846	58	30
zhui-feng-hun-zi	追风混子	1947.604019230719	46.05664084555957	21	24
igronemyk	igronemyk	1946.937084165733	0.0	0	2
ggut_johnsmit5h	GGUT_JohnSmith65536	1946.405345042651	0.0	0	7
mysdb	MYSDB	1940.301928846735	0.0	0	9
ntwbvdbl_oe	ntwbvdbl_oe	1935.819280289356	0.0	0	5
miaopass	miaopass	1935.431926507224	0.0	0	3
gaoziqi	高子奇	1932.475925226967	0.0	0	5
foxspy	foxspy	1929.150553197205	0.0	0	5
wangbin2360	选牌	1925.132431990675	-66.76187191439629	80	22
heltion	何逊	1921.510215825078	0.0	0	3
ykx_akks	ykx_akks	1919.569227859424	0.0	0	2
laekov_prc	laekov	1918.138749864468	0.0	0	3
fosters	fosters	1916.489885231937	107.7986348443417	12	6
taoyouh	TaoyouH	1913.904289601875	0.0	0	10
zoucharming	ZouCharming	1906.127146351053	70.26160372522583	19	27
kaizyn	Kaizyn	1905.775974918508	0.0	0	20
hetao	核桃	1901.376071472136	4.323418604142548	40	16
glen-3	Glen	1899.553712069965	17.14187800631413	35	14
percy	ban peng	1899.493086092879	-5.793836016600208	45	19
ghouyl-2	ghouyl	1897.123248721764	-94.04061864548436	118	14
corwinliu	XuqinLiu	1896.356958936704	0.0	0	8
goddice	God Play Dice 🎲🎲🎲🎲	1894.157598336401	0.0	0	26
scut_dell	字节bpm团队求2-2大佬	1891.365416270805	197.8095938054743	5	2
user7612p	Love of red moon	1889.045243283344	0.0	0	18
lisanaaa	Lisanaaa	1888.086401436258	98.66583864002149	15	6
zqy1018	zqy1018	1887.672793645382	0.0	0	6
resara	resara	1886.338599829798	0.0	0	27
y_xx	xxx	1881.917858509113	0.0	0	9
aixiong	肖宏宇	1881.790939305058	0.0	0	7
bice	斌 邢	1881.761872722099	0.0	0	26
201612201402013	201612201402013	1881.08420459546	0.0	0	2
jiayangwu	Celia	1876.362470028336	116.4342200479428	13	22
stonehank	stonehank	1874.952654575162	-17.64862449888261	56	28
user6802s	user6802S	1871.315406102703	0.0	0	3
isaiah	Long Qian	1870.900515558783	0.0	0	6
hasta	Hasta	1866.053181457593	0.0	0	5
dxyinme	dxyinme	1863.689225890798	0.0	0	10
chengair	chengair	1862.957503173407	0.0	0	16
llayzz	张志恒	1857.041936050108	0.0	0	10
minori	Minori	1851.937581607934	0.0	0	3
henry-niu	Henry-Niu	1851.267019104813	0.0	0	5
neomao	neo猫	1849.83984553459	-37.97804545831087	76	11
xiebei	MutexLock	1849.768679497195	0.0	0	9
seieewkx	Kaixiang Wang	1849.04042850652	0.0	0	7
sortmin	Wang Wenyu	1848.922912249969	0.0	0	10
lorylin	lorylin	1848.597793842687	0.0	0	9
cosecoder	CoseCoder	1847.6427931403	0.0	0	8
leepfy	leepfy	1845.891863856442	-150.9088637801628	248	24
mikusugar	Lain	1845.279631032983	15.09395904329568	44	19
hnshhslsh	hnshhslsh	1843.94486654791	-47.81683647163067	86	10
ln19922	ln19922	1842.119414926149	0.0	0	13
